playerid,Name,Team,PA,HR,SB,Off,wRC+,wOBA,ISO+,Barrel%,BsR,Spd,BB%+,K%+,Oppo%+,EV,maxEV,xwOBA,Total Z-Score
19252,Cavan Biggio,TOR,-0.95,-0.78,-0.56,-0.1,-0.14,-0.22,-0.04,-0.21,0.73,0.63,1.68,0.98,-0.69,-0.34,-1.09,-0.63,-1.74
27506,Ha-seong Kim,SDP,1.01,-0.23,0.86,0.21,0.17,0.08,-0.44,-0.87,0.63,0.57,0.16,-0.84,-1.68,-0.9,-0.47,-0.02,-1.78
5038,Josh Donaldson,NYY,0.75,0.21,-0.56,-0.63,-0.14,-0.22,0.05,0.51,-1.46,-0.93,0.71,0.83,-1.85,0.96,0.33,-0.31,-1.78
16939,Lane Thomas,WSN,0.77,0.43,0.29,-0.38,-0.18,-0.06,0.14,-0.31,-0.19,0.16,-0.27,0.29,-0.57,-1.04,-0.22,-0.69,-1.83
10047,Wil Myers,SDP,-1.07,-0.67,-0.56,-0.0,0.13,0.02,-0.33,-0.11,0.4,-0.76,-0.33,1.23,1.23,-0.07,-0.47,-0.63,-1.97
10950,Adam Duvall,ATL,-0.86,-0.12,-0.85,-0.32,-0.52,-0.42,0.6,1.25,0.89,-0.36,-0.56,1.56,-1.39,-0.16,-0.22,-0.48,-1.97
24618,Ryan Jeffers,MIN,-1.42,-0.67,-0.85,-0.5,-0.52,-0.63,0.11,1.35,-0.42,-0.82,0.65,0.69,0.24,-0.2,0.85,0.15,-2.0
11281,Whit Merrifield,- - -,0.78,-0.23,1.42,-0.49,-0.48,-0.44,-0.47,-0.87,0.86,0.8,-0.36,-1.06,0.94,-0.72,-1.09,-0.63,-2.03
18289,Brian Anderson,MIA,-0.39,-0.56,-0.71,-0.48,-0.41,-0.47,-0.59,0.48,-0.02,-0.3,0.48,0.65,-0.16,0.03,0.43,-0.02,-2.04
24617,Jarren Duran,BOS,-1.51,-1.11,0.15,-0.52,-0.87,-0.71,-0.15,-0.01,0.17,2.01,-0.59,1.01,0.65,0.31,-0.12,-0.8,-2.1
21558,Matt Vierling,PHI,-0.57,-0.78,0.15,-0.69,-0.75,-0.69,-0.96,-0.68,0.17,0.74,-0.65,-0.44,0.88,1.19,0.47,0.5,-2.11
4106,Michael Brantley,HOU,-1.13,-0.89,-0.71,0.37,1.02,0.95,-0.44,-0.43,-0.22,-0.76,1.19,-1.82,-0.92,0.54,-0.88,1.87,-2.27
17027,Alex Verdugo,BOS,1.44,-0.23,-0.71,-0.11,0.09,0.24,-0.47,-0.43,-0.35,-0.93,-0.5,-1.42,0.18,0.21,0.09,0.56,-2.34
11737,Nick Castellanos,PHI,0.84,-0.01,0.15,-0.64,-0.25,-0.17,-0.56,-0.28,-0.91,-0.24,-1.08,0.14,1.58,-0.53,-0.22,-0.22,-2.41
21538,Nick Fortes,MIA,-1.39,-0.45,-0.14,-0.17,-0.02,-0.06,0.11,-0.18,0.01,1.15,-0.27,-0.58,-0.16,0.31,-0.81,0.27,-2.41
19363,Austin Hays,BAL,1.01,0.32,-0.56,0.1,0.17,0.1,0.25,-0.63,0.21,-0.47,-0.76,-0.4,-0.4,-0.44,-0.6,-0.34,-2.46
14712,Manuel Margot,TBR,-0.53,-1.0,0.15,0.15,0.21,-0.06,-0.93,-1.0,0.76,0.34,-0.47,-0.55,0.48,0.4,-0.12,-0.31,-2.49
18607,Jared Walsh,LAA,0.11,0.21,-0.56,-1.02,-0.87,-0.88,0.16,0.43,-0.22,-0.36,-0.7,1.37,-0.51,0.68,0.47,-0.86,-2.55
9256,A.J. Pollock,CHW,0.62,0.1,-0.42,-0.59,-0.33,-0.36,-0.12,0.41,-0.48,-0.18,-0.68,-0.55,-0.34,0.07,0.02,0.21,-2.62
5933,Jean Segura,PHI,-0.36,-0.34,1.0,-0.14,0.17,0.27,-0.85,-0.82,-0.51,0.11,-0.65,-1.2,1.29,-0.48,0.09,-0.19,-2.63
17954,Sam Hilliard,COL,-1.67,-1.22,-0.14,-0.95,-2.18,-1.61,-1.4,0.36,0.6,1.43,1.11,0.98,-0.86,1.56,1.51,-0.19,-2.68
20332,Luis Gonzalez,SFG,-0.62,-1.0,0.57,-0.26,-0.22,-0.22,-0.93,-1.19,0.21,0.8,0.1,-0.15,2.52,-0.81,-0.36,-1.21,-2.78
5827,Wilmer Flores,SFG,1.15,0.65,-0.85,-0.13,0.09,0.05,0.19,-0.36,-0.45,-0.99,0.5,-0.84,-0.57,-0.39,-0.85,0.01,-2.78
16572,Connor Joe,COL,0.2,-0.67,0.0,-0.68,-0.52,0.1,-0.64,-0.8,-0.09,0.86,1.19,-0.26,0.24,-1.55,-0.22,0.04,-2.81
20970,Oscar Gonzalez,CLE,-0.39,-0.23,-0.71,0.41,0.83,0.78,0.31,-0.11,-0.42,-1.28,-1.45,-0.4,-1.33,-0.02,0.88,0.3,-2.83
17232,Yoan Moncada,CHW,-0.04,-0.12,-0.56,-0.88,-0.95,-0.96,-0.18,0.51,0.43,-0.41,-0.19,0.69,0.13,0.03,0.26,-0.6,-2.85
16930,Jonah Heim,TEX,0.08,0.32,-0.56,-0.34,-0.06,-0.12,0.42,-0.21,-0.58,-0.36,0.42,-0.44,-2.09,0.31,0.57,-0.54,-3.17
19522,T.J. Friedl,CIN,-1.26,-0.56,0.15,-0.08,0.02,0.35,0.74,-0.75,0.3,1.95,-0.19,-1.09,-0.22,-0.67,-1.23,-0.77,-3.31
14350,Raimel Tapia,TOR,-0.04,-0.67,0.29,-0.35,-0.41,-0.47,-0.67,-0.65,0.66,0.86,-1.54,-0.55,1.06,-0.48,0.33,-0.69,-3.32
19238,Lourdes Gurriel Jr.,TOR,0.38,-0.89,-0.42,0.1,0.52,0.46,-0.82,-0.97,-1.33,-0.65,-0.59,-0.84,0.71,0.91,-0.43,0.33,-3.54
20538,Jose Miranda,MIN,0.31,0.21,-0.71,0.15,0.63,0.51,0.16,-0.38,-1.46,-1.34,-0.76,-0.51,-0.51,0.31,-0.47,0.21,-3.64
7859,Charlie Blackmon,COL,0.97,0.32,-0.28,-0.58,-0.45,0.18,-0.01,-0.82,0.47,0.39,-0.96,-0.55,-0.51,-1.13,-0.43,-0.25,-3.65
18126,LaMonte Wade Jr.,SFG,-1.31,-0.56,-0.71,-0.27,-0.29,-0.33,-0.07,0.43,0.27,-0.01,0.71,-0.33,-0.75,-0.44,-0.5,0.33,-3.83
17620,Myles Straw,CLE,1.1,-1.44,2.13,-1.31,-1.41,-1.45,-1.89,-1.74,2.5,1.55,0.42,-1.2,2.69,-0.76,-2.06,-1.01,-3.87
13185,Orlando Arcia,ATL,-1.43,-0.45,-0.85,-0.1,0.13,0.29,0.31,-0.06,-0.02,-1.57,0.22,-0.11,-0.81,0.96,-0.99,0.56,-3.92
12158,Austin Barnes,LAD,-1.58,-0.56,-0.56,-0.25,0.13,0.13,0.22,-0.73,-0.68,-0.13,1.51,-0.8,1.23,-0.58,-1.02,-0.34,-3.99
