name,team,position,adp,olinerank,sosrank,playerscore
Cedric Tillman,CLE,WR97,275,9,31,315
Blake Grupe,NO,K18,289,25,3,317
Trey Palmer,TB,WR103,283,26,8,317
Greg Dortch,ARI,WR102,282,23,12,317
Jacksonville Jaguars,JAC,DST18,273,26,19,318
Daniel Carlson,LV,K16,277,20,24,321
Michael Carter,ARI,RB81,287,23,12,322
Colby Parkinson,LAR,TE37,294,9,19,322
Deuce Vaughn,DAL,RB83,292,11,20,323
Devontez Walker,BAL,WR99,278,16,30,324
Jeff Wilson Jr,MIA,RB87,303,14,7,324
Tyler Higbee,LAR,TE38,296,9,19,324
Greg Dulcich,DEN,TE36,285,22,19,326
Kareem Hunt,FA,RB97,326,0,0,326
Michael Thomas,FA,WR113,327,0,0,327
Deneric Prince,KC,RB91,310,4,13,327
Brenden Rice,LAC,WR106,307,17,3,327
Tyler Scott,CHI,WR108,311,14,3,328
Eric Gray,NYG,RB78,279,26,23,328
Isaac Guerendo,SF,RB86,302,9,19,330
Israel Abanikanda,NYJ,RB90,306,13,11,330
KJ Osborn,NE,WR100,280,24,27,331
Jerick McKinnon,FA,RB99,331,0,0,331
DErnest Johnson,JAC,RB80,286,26,19,331
Chris Rodriguez Jr,WAS,RB85,298,20,14,332
Isaiah Spiller,LAC,RB92,312,17,3,332
Denver Broncos,DEN,DST19,293,22,19,334
Michael Penix Jr,ATL,QB36,324,10,1,335
Jacob Cowing,SF,WR107,308,9,19,336
Noah Brown,HOU,WR104,291,19,27,337
Green Bay Packers,GB,DST20,299,15,23,337
Pierre Strong Jr,CLE,RB84,297,9,31,337
Hayden Hurst,LAC,TE41,317,17,3,337
Emari Demercado,ARI,RB88,304,23,12,339
Chase Edmonds,TB,RB89,305,26,8,339
Aidan OConnell,LV,QB34,300,20,24,344
Kalif Raymond,DET,WR111,323,2,21,346
Tutu Atwell,LAR,WR110,318,9,19,346
Ronnie Rivers,LAR,RB94,319,9,19,347
Cordarrelle Patterson,PIT,RB82,290,26,31,347
Salvon Ahmed,MIA,RB98,330,14,7,351
Royce Freeman,DAL,RB95,321,11,20,352
Dalvin Cook,FA,RB102,352,0,0,352
Jacoby Brissett,NE,QB35,301,24,27,352
Malik Washington,MIA,WR116,333,14,7,354
Jauan Jennings,SF,WR114,328,9,19,356
Donald Parham Jr,LAC,TE42,337,17,3,357
Allen Lazard,NYJ,WR117,334,13,11,358
Theo Johnson,NYG,TE39,309,26,23,358
Robert Woods,HOU,WR109,313,19,27,359
Las Vegas Raiders,LV,DST21,316,20,24,360
Cam Akers,HOU,RB93,315,19,27,361
Logan Thomas,FA,TE47,361,0,0,361
Will Dissly,LAC,TE43,343,17,3,363
Daniel Bellinger,NYG,TE40,314,26,23,363
Tampa Bay Buccaneers,TB,DST23,329,26,8,363
Donovan PeoplesJones,DET,WR122,341,2,21,364
Noah Gray,KC,TE44,348,4,13,365
Kylen Granson,IND,TE45,349,10,9,368
Rasheen Ali,BAL,RB96,322,16,30,368
Johnny Wilson,PHI,WR127,357,2,10,369
New England Patriots,NE,DST22,320,24,27,371
Nelson Agholor,BAL,WR112,325,16,30,371
Parris Campbell,PHI,WR128,359,2,10,371
Skyy Moore,KC,WR125,354,4,13,371
RayRay McCloud III,ATL,WR129,360,10,1,371
Marquez ValdesScantling,BUF,WR115,332,16,24,372
JuJu SmithSchuster,FA,WR133,373,0,0,373
Los Angeles Chargers,LAC,DST26,356,17,3,376
Xavier Gipson,NYJ,WR124,353,13,11,377
Ty Johnson,BUF,RB100,338,16,24,378
Los Angeles Rams,LAR,DST25,351,9,19,379
Justin Watson,KC,WR130,362,4,13,379
Sam Howell,SEA,QB37,342,27,11,380
Tim Patrick,DEN,WR120,339,22,19,380
Erick All Jr,CIN,TE46,358,12,11,381
Brandon McManus,FA,K24,382,0,0,382
Atlanta Falcons,ATL,DST28,371,10,1,382
Seattle Seahawks,SEA,DST24,345,27,11,383
Joe Flacco,IND,QB38,364,10,9,383
Tre Tucker,LV,WR121,340,20,24,384
Bo Melton,GB,WR123,347,15,23,385
Wil Lutz,DEN,K19,344,22,19,385
Brandon Powell,MIN,WR126,355,9,21,385
Craig Reynolds,DET,RB104,365,2,21,388
Hunter Renfrow,FA,WR135,390,0,0,390
Keaontay Ingram,KC,RB106,374,4,13,391
Matt Breida,SF,RB103,363,9,19,391
Calvin Austin III,PIT,WR118,335,26,31,392
Ainias Smith,PHI,WR134,380,2,10,392
Van Jefferson,PIT,WR119,336,26,31,393
Jake Bates,DET,K22,372,2,21,395
Cedrick Wilson Jr,NO,WR131,368,25,3,396
Tanner Hudson,CIN,TE48,375,12,11,398
Kenny Pickett,PHI,QB42,387,2,10,399
Joshua Kelley,NYG,RB101,350,26,23,399
Matt Prater,ARI,K21,366,23,12,401
Chris Boswell,PIT,K20,346,26,31,403
Tommy Tremble,CAR,TE49,376,21,7,404
Carolina Panthers,CAR,DST29,381,21,7,409
Jeremy Ruckert,NYJ,TE50,385,13,11,409
Latavius Murray,FA,RB113,411,0,0,411
Jase McClellan,ATL,RB112,404,10,1,415
Greg Joseph,GB,K23,377,15,23,415
Jawhar Jordan,HOU,RB105,369,19,27,415
Trenton Irwin,CIN,WR137,393,12,11,416
John Metchie III,HOU,WR132,370,19,27,416
New York Giants,NYG,DST27,367,26,23,416
Jameis Winston,CLE,QB39,378,9,31,418
Chase McLaughlin,TB,K25,384,26,8,418
Josh Oliver,MIN,TE54,391,9,21,421
Isaiah Davis,NYJ,RB108,399,13,11,423
KaVontae Turpin,DAL,WR136,392,11,20,423
Jordan Whittington,LAR,WR140,396,9,19,424
Jarrett Stidham,DEN,QB41,383,22,19,424
Drew Lock,NYG,QB40,379,26,23,428
Davis Allen,LAR,TE55,401,9,19,429
Jake Browning,CIN,QB43,407,12,11,430
Cade Stover,HOU,TE51,386,19,27,432
Mack Hollins,BUF,WR139,395,16,24,435
Brevin Jordan,HOU,TE53,389,19,27,435
Anders Carlson,GB,K26,398,15,23,436
Jalen Nailor,MIN,WR141,406,9,21,436
Blake Watson,DEN,RB107,397,22,19,438
Eddy Pineiro,CAR,K27,410,21,7,438
Johnny Mundt,MIN,TE56,408,9,21,438
Parker Washington,JAC,WR138,394,26,19,439
Austin Hooper,NE,TE52,388,24,27,439
Washington Commanders,WAS,DST30,405,20,14,439
Jaret Patterson,LAC,RB116,420,17,3,440
Kyle Juszczyk,SF,RB114,413,9,19,441
Nyheim Hines,CLE,RB110,402,9,31,442
Foster Moreau,NO,TE58,414,25,3,442
Ameer Abdullah,LV,RB109,400,20,24,444
Mecole Hardman Jr,KC,WR144,427,4,13,444
Joshua Karty,LAR,K28,417,9,19,445
Jared Wiley,KC,TE64,431,4,13,448
Adam Trautman,DEN,TE57,409,22,19,450
Jake Bobo,SEA,WR142,412,27,11,450
