player_name,MLBAMID,P_THROWS,Pitches,Appearances,STUFFplus,LOCATIONplus,PITCHINGplus
Sean Poppen,664092,R,439,29,84.5,97.9,94.8
Alexander Wells,649144,L,66,2,84.4,106.3,90.5
Bruce Zimmermann,669145,L,1124,15,84.4,103.9,96.2
Patrick Corbin,571578,L,2623,31,84.3,102.1,95.6
Jharel Cotton,605194,R,699,29,83.9,93.9,90.3
Sam Moll,594580,L,734,53,83.9,96.6,98
Tayler Scott,605463,R,255,8,83.9,96.5,97.6
John King,667463,L,749,39,83.8,99.4,96
Raynel Espinal,642659,R,76,2,83.8,110.9,106.6
Scott Alexander,518397,L,214,17,83.7,106.1,98.1
Trevor Kelley,665001,R,460,18,83.7,98.7,89
Tyler Holton,663947,L,159,10,83.6,96.7,92.7
Ryan Yarbrough,642232,L,1355,20,83.5,100.3,95.3
Antonio Senzatela,622608,R,1520,19,83.3,102.2,97.6
Tyler Gilbert,656457,L,564,8,83.3,99.9,92.8
Connor Overton,656818,R,469,6,83.2,102,98.3
Jose Quintana,500779,L,2783,33,83.1,102.4,97.3
Joey Wentz,666214,L,553,7,83,99.2,94.7
Zack Thompson,668868,L,575,22,82.9,99.4,96.9
Dereck Rodriguez,605446,R,99,2,82.7,97.5,89.3
Jake Odorizzi,543606,R,1849,23,82.7,102.5,96.6
Ian Anderson,666120,R,1998,22,82.6,97.3,91.2
Robbie Erlin,572362,L,40,2,82.6,88.9,89.4
Josh Rogers,642028,L,419,16,82.5,98,93.4
Paul Fry,643316,L,232,13,82.5,88.6,90.8
Tommy Henry,674072,L,773,9,82.4,96.1,91.4
Ryan Weber,543901,R,127,5,82.2,107.3,103.2
Tyler Danish,641501,R,663,32,82.2,100.2,94.7
James Naile,664942,R,122,7,82.1,104.1,104.3
Cam Vieaux,664944,L,208,8,82,95.7,92.5
Konnor Pilkington,663455,L,1039,15,82,95.3,90
Adrian Martinez,661309,R,1015,12,81.9,100,97.9
Martin Perez,527048,L,2965,32,81.9,102.8,95.7
Cam Alldred,682027,L,16,1,81.7,111.5,112.1
Dillon Peters,596071,L,633,22,81.6,98.7,96.2
Kolby Allard,663465,L,299,10,81.5,95.4,92.8
Justin Topa,623437,R,125,7,81.4,96.4,95.5
Packy Naughton,676050,L,557,26,81.4,102.2,95.9
Austin Gomber,596295,L,2058,33,81,101.2,95.5
Simeon Woods Richardson,680573,R,91,1,80.8,104.5,96.1
Bailey Falter,663559,L,1319,21,80.7,105.1,96.9
Dakota Hudson,641712,R,2251,27,80.6,97.1,92
