"Name","Team","xERA","K-BB%","Barrel%","CSW%","Starting","Relieving","TBF","GS","SV","xFIP-","K/BB+","HR/9+","WHIP+","BABIP+","playerid"
"Tyler Matzek","ATL","4.25","3.8%","7.7%","24.3%","","-1.3","184","0","1","140","46","56","98","69","10058"
"Marcus Stroman","CHC","3.94","14.6%","6.6%","28.0%","19.3","","569","25","0","88","121","94","90","93","13431"
"Kyle Finnegan","WSN","3.29","17.9%","8.0%","28.7%","","6.1","268","0","11","81","117","110","89","92","15009"
"Tarik Skubal","DET","3.34","17.8%","5.5%","27.7%","26.0","","477","21","0","86","132","64","92","104","22267"
"Michael Kopech","CHW","3.94","9.7%","8.8%","27.2%","10.0","","494","25","0","123","67","105","95","78","17282"
"Joe Ryan","MIN","3.57","17.2%","8.6%","27.3%","19.7","","604","27","0","110","116","114","88","88","21390"
"Richard Bleier","MIA","3.78","9.9%","4.5%","25.1%","0.1","4.3","222","1","1","94","117","48","113","117","7803"
"Jharel Cotton","- - -","3.83","10.5%","7.5%","25.9%","","-3.1","181","0","0","125","71","136","100","83","13654"
"Tim Hill","SDP","3.08","5.5%","1.3%","24.0%","","4.5","199","0","0","108","65","17","96","97","16814"
"Tyler Rogers","SFG","3.36","8.2%","3.7%","29.0%","","5.6","319","0","0","103","78","32","99","100","15541"
"Freddy Peralta","MIL","2.70","18.6%","3.5%","29.6%","18.8","-1.1","317","17","0","92","117","63","81","84","18679"
"Braxton Garrett","MIA","4.05","17.7%","7.2%","30.9%","13.8","","373","17","0","88","137","83","98","110","21844"
"Jose Cuas","KCR","4.34","5.6%","3.4%","29.0%","","-0.5","180","0","1","124","51","44","134","113","17701"
"Seth Lugo","NYM","3.46","18.8%","8.2%","29.4%","","1.8","272","0","3","88","141","113","91","97","12447"
"Domingo German","NYY","3.78","13.1%","6.9%","28.5%","6.0","0.3","298","14","0","110","110","127","93","91","17149"
"Ryan Tepera","LAA","3.24","11.6%","5.5%","26.2%","","1.1","232","0","6","108","85","102","86","78","10291"
"Sammy Long","SFG","4.28","10.5%","6.8%","28.4%","1.4","-4.4","181","6","1","117","65","154","98","85","25379"
"Diego Castillo","SEA","2.96","14.0%","7.6%","27.8%","","3.2","222","0","7","98","87","77","91","87","17496"
"Ranger Suarez","PHI","3.78","10.7%","6.8%","25.5%","22.0","","662","29","0","96","82","79","104","100","17277"
"Nick Lodolo","CIN","3.97","20.9%","9.1%","29.8%","17.2","","441","19","0","88","123","103","98","110","26378"
"Zack Greinke","KCR","4.78","7.9%","6.8%","25.0%","17.5","","585","26","0","115","98","85","107","107","1943"
"Eric Lauer","MIL","4.02","14.8%","7.9%","27.4%","10.3","","661","29","0","102","98","139","96","89","19316"
"Jackson Stephens","ATL","3.86","10.2%","4.9%","25.7%","-0.1","3.9","235","1","2","102","75","46","105","99","14420"
"Oliver Ortega","LAA","5.04","10.1%","7.3%","24.2%","","-1.7","148","0","1","100","66","123","117","103","21025"
"Adam Wainwright","STL","4.53","11.1%","6.5%","27.9%","26.9","","803","32","0","103","97","68","100","103","2233"
"Devin Smeltzer","MIN","4.34","7.3%","7.0%","25.2%","-2.5","1.2","287","12","0","127","76","155","98","88","19487"
"Robbie Ray","SEA","3.59","19.4%","7.9%","26.5%","16.9","","775","32","0","91","124","142","95","99","11486"
"Luis Garcia","HOU","3.59","17.1%","7.8%","28.7%","19.6","","643","28","0","97","121","122","90","91","23735"
"Hector Neris","HOU","3.29","23.6%","6.8%","31.1%","","15.4","263","0","3","83","168","38","81","102","11804"
"Chris Flexen","SEA","4.62","7.5%","9.0%","22.5%","4.5","2.1","590","22","2","128","67","103","106","94","13896"
"Alex Cobb","SFG","3.15","17.1%","3.7%","29.4%","33.6","","631","28","0","73","129","49","102","115","6562"
"Hirokazu Sawamura","BOS","4.31","5.9%","7.1%","25.4%","","0.1","221","0","0","114","54","66","113","95","27515"
