"Name","Team","PA","HR","SB","BABIP+","K%+","BB%+","ISO+","wRC+","Barrels","OPS","Barrel%","Off","EV","playerid"
"Austin Nola","SDP","27","0","0","125","66","44","74","116","0",".756","0.0%","0.5","89.3","15941"
"Reese McGuire","BOS","26","2","0","65","104","97","195","110","0",".769","0.0%","-0.1","90.1","15674"
"Anthony Santander","BAL","55","6","0","22","106","91","260","115","7",".787","18.9%","1.0","87.7","14551"
"Dansby Swanson","ATL","56","4","0","88","118","43","167","109","5",".768","12.8%","0.8","91.4","18314"
"Orlando Arcia","ATL","38","2","0","96","105","63","143","109","2",".762","7.4%","0.4","89.9","13185"
"Brandon Drury","SDP","55","1","0","125","121","87","79","115","1",".733","2.9%","0.6","86.1","11615"
"Abraham Toro","SEA","28","1","1","122","129","45","107","119","1",".761","5.6%","0.7","88.0","19844"
"Jermaine Palacios","MIN","25","2","0","86","162","100","183","115","2",".780","14.3%","0.4","88.8","18371"
"Salvador Perez","KCR","40","1","0","89","45","94","112","110","3",".742","9.4%","0.2","86.2","7304"
"Christian Arroyo","BOS","24","0","0","138","75","0","56","108","0",".750","0.0%","-0.1","84.7","16434"
"Randal Grichuk","COL","40","4","0","41","99","60","238","95","4",".778","13.8%","-0.3","91.5","10243"
"Taylor Walls","TBR","32","1","1","65","113","275","134","115","3",".704","17.6%","0.9","91.3","22458"
"A.J. Pollock","CHW","40","1","1","104","68","94","90","109","2",".730","6.5%","0.5","88.5","9256"
"Anthony Rendon","LAA","5","0","0","345","270","0","0","108","0",".650","0.0%","0.0","71.7","12861"
"Matt Vierling","PHI","32","1","0","86","69","75","156","104","2",".764","8.0%","0.2","93.9","21558"
"Dylan Carlson","STL","46","0","0","100","77","156","83","109","1",".707","3.2%","0.4","86.5","20126"
"Andres Gimenez","CLE","42","1","2","126","139","60","74","108","1",".718","4.3%","0.8","90.9","19950"
"Tyrone Taylor","MIL","34","0","0","114","65","70","81","105","2",".730","7.4%","0.3","85.0","13675"
"Esteban Quiroz","CHC","36","0","1","129","86","133","0","105","1",".679","4.2%","0.3","80.4","19780"
"Jose Abreu","CHW","40","0","0","94","34","63","93","106","6",".714","18.2%","0.2","92.2","15676"
"Willson Contreras","CHC","25","1","0","69","88","144","123","103","2",".701","12.5%","0.0","97.3","11609"
"Rene Pinto","TBR","4","0","0","173","225","0","167","111","1",".750","50.0%","0.0","103.2","19859"
"Will Smith","LAD","47","2","0","101","103","0","151","104","3",".745","8.3%","-0.1","89.2","19197"
