Name,Team,PA,HR,SB,BABIP+,K%+,BB%+,ISO+,wRC+,Barrels,OPS,Barrel%,Off,EV,NameASCII,PlayerId,MLBAMID
"Amed Rosario","TBR",9,0,0,0,99.74310837231477,0,0,-100,0,0,0,-2.1339259061168954,91.44563511439732,"Amed Rosario",15518,642708
"Giancarlo Stanton","NYY",25,2,0,20.72762002117223,89.76879762485211,48.694352146812584,163.61373690153684,48.03313347644494,2,0.535,0.10526316,-1.6841813640578105,91.4154413011339,"Giancarlo Stanton",4949,519317
"Xander Bogaerts","SDP",6,0,0,68.73027299725085,74.95928520622746,0,0,-4.456458851321212,2,0.366666666,0.4,-0.7096528639553149,91.40406188964843,"Xander Bogaerts",12161,593428
"Andruw Monasterio","MIL",11,1,1,85.91284124656356,40.886882594439136,104.61292811020975,209.7126222823511,171.487125329254,1,0.963636363,0.11111111,1.3012725989164942,91.39808824327257,"Andruw Monasterio",19455,655316
"Carson Kelly","DET",13,0,0,88.09238570662868,138.10584218903432,93.6429837740007,0,18.408545281897826,0,0.397435896,0,-1.3891999844450365,91.35561043875558,"Carson Kelly",13620,608348
"Ha-Seong Kim","SDP",26,1,5,98.18610403632165,103.78977958550814,221.29658055356575,133.15087095750445,143.36499671237033,1,0.813186812,0.06666667,1.9379396779759583,91.3402577718099,"Ha-Seong Kim",27506,673490
"Tyler Stephenson","CIN",17,0,0,93.72309929177743,105.82487336460223,67.6907183920314,46.60280448560553,44.8250877094578,0,0.560784313,0,-1.138957384651444,91.31977844238281,"Tyler Stephenson",17988,663886
"Kyle Manzardo","CLE",16,0,0,140.9478171306059,168.31649554659768,0,163.61373690153684,107.87825001627311,2,0.75,0.2,0.23468753755869737,91.26641464233398,"Kyle Manzardo",29794,700932
"LaMonte Wade Jr.","SFG",21,0,0,183.28072787811846,64.25081576255049,164.3917448307537,0,191.63497960782414,1,0.968253967,0.06666667,2.128352169392256,91.22550608317057,"LaMonte Wade Jr.",18126,664774
"Elehuris Montero","COL",13,0,0,68.73027299725085,103.78977958550814,0,53.772467305657365,-12.742730048796322,0,0.384615383,0,-1.8269086878682055,91.22289123535157,"Elehuris Montero",20543,660707
"Gary Sánchez","MIL",17,0,0,93.72309929177743,105.82487336460223,135.3814367840628,0,51.58441092406568,1,0.494117647,0.09090909,-1.006495634971587,91.20881167325106,"Gary Sanchez",11442,596142
"Emmanuel Rivera","MIA",11,0,0,196.37220841629468,81.773765638634,209.2258573711617,155.34268301676926,242.47573544451743,1,1.212121211,0.14285714,1.7785006216642834,91.18445587158203,"Emmanuel Rivera",19890,656896
"Mike Tauchman","CHC",18,0,1,132.17360170631233,74.95928520622746,127.86024661877636,87.38025928431297,138.5833624057777,1,0.826388888,0.07692308,1.0793035129965534,91.16475970928485,"Mike Tauchman",15274,643565
"James McCann","BAL",11,0,0,78.30434277203226,81.60799747353865,0,59.49590438732748,25.1761296708576,1,0.454545453,0.11111111,-0.9901223339665957,91.15754530164931,"James McCann",12859,543510
"Jordan Westburg","BAL",30,1,0,76.60207440493988,44.884398812426056,121.73588036703147,96.95628843728777,95.90801185270448,1,0.67037037,0.04166667,-0.5516620969600705,91.1372299194336,"Jordan Westburg",27815,676059
"Mitch Garver","SEA",19,0,0,100.67701198445454,94.49347082970434,64.07151482936084,36.35860783675544,59.581363042836095,3,0.540935671,0.21428571,-0.965255941928974,91.12886868990384,"Mitch Garver",15161,641598
"Heliot Ramos","SFG",25,2,0,79.30416088632684,125.93159965018856,138.08906648636753,190.64783862914885,136.2469378124069,2,0.82,0.13333333,1.0751812271484773,91.08355763753255,"Heliot Ramos",22515,671218
"Jake Burger","MIA",24,1,0,101.07393085809528,93.6991067326622,47.947591762827244,121.57253432211095,104.851414634184,2,0.726449274,0.11111111,-0.29530948903557663,91.06638740090763,"Jake Burger",22275,669394
"Bryan Ramos","CHW",4,0,0,0,112.21099703106515,0,0,-100,0,0,0,-0.9602450373333394,91.03333536783855,"Bryan Ramos",25621,682868
"Ronald Acuña Jr.","ATL",36,1,2,96.22238219615119,87.45249955718396,95.8951846763967,127.09855908609924,105.48501607668031,1,0.729797979,0.03846154,0.7553228755237772,91.0124505849985,"Ronald Acuna Jr.",18401,660670
"Anthony Rizzo","NYY",28,0,0,96.10078415096251,48.09042723490734,43.47709926154066,0,73.3740887334186,1,0.571428571,0.04545455,-1.1438471309327727,90.99400052157316,"Anthony Rizzo",3473,519203
