"Name","Team","PA","HR","SB","Off","wRC+","wOBA","ISO+","Barrel%","BsR","Spd","SwStr%","TTO%","BB%+","K%+","Oppo%+","EV","maxEV","xwOBA","HardHit%","playerid"
"Patrick Wisdom","CHC","534","25","8","3.1","104",".316","142","14.2%","0.6","3.7","16.1%","48.9%","119","152","79","90.7","112.6",".295","46.0%","13602"
"Trevor Story","BOS","396","16","13","3.1","100",".316","131","11.3%","2.9","5.4","13.7%","42.9%","102","139","101","88.9","113.4",".301","40.6%","12564"
"Ryan Mountcastle","BAL","609","22","4","5.1","106",".316","116","15.0%","0.7","3.0","15.5%","36.0%","89","114","119","91.3","112.0",".362","45.8%","18373"
"Nolan Gorman","STL","313","14","1","2.4","107",".316","125","14.4%","-0.1","3.0","16.0%","46.3%","107","146","93","89.2","110.6",".341","43.3%","22263"
"Rodolfo Castro","PIT","278","11","5","1.1","103",".315","125","6.7%","0.3","5.3","14.8%","38.5%","95","118","102","87.3","111.6",".280","35.0%","21987"
"Cedric Mullins II","BAL","672","16","34","7.6","106",".315","97","4.9%","3.3","6.6","9.6%","28.1%","88","84","95","88.8","109.4",".288","36.7%","17929"
"Yadiel Hernandez","WSN","327","9","2","-4.7","101",".315","91","8.6%","-5.2","2.2","14.0%","31.2%","70","100","105","88.8","108.0",".310","42.1%","19334"
"Austin Barnes","LAD","212","8","2","-1.1","104",".315","108","4.8%","-2.1","3.6","6.6%","34.0%","152","77","121","87.4","107.8",".298","35.2%","12158"
"David Peralta","- - -","490","12","1","2.4","104",".315","107","8.5%","0.1","2.5","12.3%","34.1%","102","104","88","90.3","113.0",".313","44.1%","2136"
"Randal Grichuk","COL","538","19","4","-8.9","88",".315","107","6.8%","-1.2","4.4","11.6%","31.6%","53","104","108","90.0","111.6",".281","43.6%","10243"
"Tyrone Taylor","MIL","405","17","3","2.1","102",".314","135","9.9%","1.2","4.6","12.7%","34.8%","65","111","86","88.0","109.3",".307","37.6%","13675"
"Austin Hays","BAL","582","16","2","3.8","105",".314","109","5.2%","0.6","3.0","11.2%","28.2%","73","88","93","87.7","109.0",".298","37.7%","19363"
"Jonathan India","CIN","431","10","3","-3.5","95",".314","84","4.8%","-1.0","3.5","8.7%","31.3%","86","96","85","85.1","111.3",".301","28.8%","21523"
"Connor Joe","COL","467","7","6","-7.4","87",".314","78","4.5%","-0.3","5.3","7.7%","34.0%","141","92","104","85.3","110.1",".311","33.8%","16572"
"Luis Rengifo","LAA","511","17","6","2.9","103",".314","111","5.4%","1.4","4.0","11.3%","22.1%","42","70","69","86.9","109.3",".296","33.3%","19858"
"Bryan De La Cruz","MIA","355","13","4","0.4","104",".313","116","11.9%","-1.2","3.5","12.8%","34.4%","64","112","94","90.8","111.2",".355","47.1%","19600"
"Ramon Urias","BAL","445","16","1","2.2","104",".313","111","9.6%","0.0","2.7","12.5%","32.4%","85","99","100","89.4","110.0",".320","46.5%","18795"
"Eric Hosmer","- - -","419","8","0","-3.0","104",".313","73","5.7%","-5.1","0.9","8.2%","26.0%","106","68","106","88.4","112.9",".311","39.7%","3516"
"Ha-seong Kim","SDP","582","11","12","5.4","105",".313","85","4.2%","1.9","4.8","7.2%","27.8%","105","76","71","86.7","109.4",".309","32.3%","27506"
