"Name","Team","PA","HR","SB","Off","wRC+","wOBA","ISO+","Barrel%","BsR","Spd","BB%+","K%+","Oppo%+","EV","maxEV","xwOBA","playerid"
"Christian Vazquez","- - -","426","9","1","-10.2","99",".312","84","5.1%","-9.9","1.8","65","73","112","87.9","109.5",".301","9774"
"Jose Iglesias","COL","467","3","2","-11.2","85",".312","57","0.5%","-3.3","2.2","44","53","91","83.8","109.9",".281","10231"
"Luis Guillorme","NYM","335","2","1","-3.7","106",".311","43","2.4%","-6.1","2.9","121","61","119","86.2","110.3",".302","16451"
"Luke Voit","- - -","568","22","1","-4.9","102",".311","114","14.7%","-6.2","1.5","116","139","80","89.8","111.3",".322","14811"
"Eduardo Escobar","NYM","542","20","0","7.0","106",".311","123","9.4%","3.1","3.1","88","105","87","88.3","111.5",".314","6153"
"Jack Suwinski","PIT","372","19","4","0.4","100",".311","135","12.2%","0.6","3.1","132","136","90","88.3","112.4",".307","22244"
"Amed Rosario","CLE","670","11","18","3.5","103",".311","81","4.5%","1.5","6.7","47","75","110","88.4","115.8",".310","15518"
"Bobby Witt Jr.","KCR","632","20","30","6.3","99",".311","117","8.7%","6.8","7.2","60","96","103","89.7","113.7",".313","25764"
"Wil Myers","SDP","286","7","2","2.4","104",".311","89","7.3%","1.2","2.5","88","133","121","88.5","109.4",".288","10047"
"MJ Melendez","KCR","534","18","2","-1.1","99",".310","118","10.4%","-0.3","3.1","155","110","91","90.7","110.8",".332","22197"
"Elvis Andrus","- - -","577","17","18","9.3","105",".310","104","4.5%","6.0","4.5","85","72","97","87.9","109.9",".293","8709"
"Alec Bohm","PHI","631","13","2","-2.2","98",".310","76","6.8%","-0.5","3.4","59","77","121","90.2","110.8",".333","21618"
"Joey Votto","CIN","376","11","0","-7.5","92",".310","106","11.1%","-4.1","1.5","140","114","98","89.7","111.9",".322","4314"
"Jeremy Pena","HOU","558","22","11","4.9","102",".309","116","9.6%","3.7","5.3","50","109","92","88.1","110.5",".300","21636"
