Name,Team,xERA,K-BB%,Barrel%,CSW%,Starting,Relieving,TBF,GS,SV,xFIP-,Stuff+,Location+,Pitching+,NameASCII,PlayerId,MLBAMID
"Ben Brown","CHC",4.77,0.1863354,0.11881188,0.31869919,5.9244208335876465,3.678337574005127,161,5,0,90.33436095546128,110.34721905091392,95.64889004209192,99.70304099636739,"Ben Brown",23590,676962
"Michael King","SDP",4.17,0.14828897,0.08333333,0.31434185,3.017199754714966,-0.7717666029930115,263,10,0,97.07061463182774,92.82995666158624,100.90550447130643,99.67811800342132,"Michael King",19853,650633
"Tyler Anderson","LAA",4.61,0.08171206,0.1005291,0.27136752,7.749859809875488,,257,10,0,122.36573644291234,94.10395721925131,101.70192513368981,99.67465240641711,"Tyler Anderson",12880,542881
"Luis Severino","NYM",3.42,0.09795918,0.04216867,0.24058577,8.544955253601074,,245,10,0,106.79916276159554,105.78732984293195,99.36031413612562,99.35842931937171,"Luis Severino",15890,622663
"Mitch Keller","PIT",4.64,0.1358885,0.06862745,0.28058252,9.823031425476074,,287,11,0,101.210504919491,100.52091439688718,101.66352140077822,99.22509727626458,"Mitch Keller",17594,656605
"Trevor Rogers","MIA",5.3,0.08108108,0.07643312,0.26358382,3.0064332485198975,,222,10,0,107.77432982803772,85.62862232779098,100.9725653206651,99.20878859857483,"Trevor Rogers",22286,669432
"Hayden Wesneski","CHC",3.05,0.16129032,0.04395604,0.29119639,5.136254787445068,3.707552671432495,124,3,0,88.61226552465672,84.52257336343115,101.83137697516929,99.07381489841985,"Hayden Wesneski",27581,669713
"Michael Wacha","KCR",3.65,0.12083333,0.05780347,0.25896861,7.841231822967529,,240,10,0,105.48777724665673,89.07355035605288,102.45991861648017,99.06022380467957,"Michael Wacha",14078,608379
"Patrick Sandoval","LAA",4,0.13360324,0.06097561,0.29121422,6.993387699127197,,247,11,0,97.58419560273002,99.06261127596437,97.72551928783385,99.04183976261125,"Patrick Sandoval",19447,663776
"Ross Stripling","OAK",4.25,0.09126984,0.04411765,0.25111607,6.633368968963623,,252,11,0,109.3226194468202,88.84709821428571,104.45669642857142,99.02232142857143,"Ross Stripling",13273,548389
"Nick Lodolo","CIN",3.09,0.24285714,0.08333333,0.33152174,8.752403259277344,,140,6,0,79.26386260247897,102.81781818181817,101.4329090909091,98.88909090909091,"Nick Lodolo",26378,666157
"Andrew Heaney","TEX",4.49,0.15023474,0.08552632,0.26215896,4.4090728759765625,,213,10,0,110.72963069446003,80.57348394768135,102.36694411414983,98.87871581450653,"Andrew Heaney",15423,571760
"Dean Kremer","BAL",5.36,0.14975845,0.12857143,0.28242424,1.2537562847137451,,207,9,0,99.67397688094061,88.7657831325301,101.20807228915662,98.82807228915664,"Dean Kremer",19350,665152
"Chris Bassitt","TOR",4.58,0.10041841,0.0797546,0.26331967,3.956275463104248,,239,10,0,104.84112664274451,96.00637860082301,99.73189300411524,98.46111111111112,"Chris Bassitt",12304,605135
"Reynaldo López","ATL",3.92,0.14356436,0.04379562,0.2911726,11.959136962890625,,202,9,0,96.3374357238709,95.66346666666664,100.95666666666666,98.46066666666668,"Reynaldo Lopez",16400,625643
"José Soriano","LAA",3.57,0.12785388,0.07801418,0.27872861,8.337654113769531,-3.1898114681243896,219,9,0,90.54185006784476,104.14473109318767,95.59464532497044,98.39032577520787,"Jose Soriano",22100,667755
"JP Sears","OAK",4.22,0.09311741,0.09090909,0.25578947,3.4331157207489014,,247,11,0,123.61145725323598,102.89841772151897,100.04145569620253,98.3570675105485,"JP Sears",23429,676664
"Zac Gallen","ARI",3.92,0.19396552,0.07051282,0.27924945,10.238235473632812,,232,10,0,83.19159416490263,96.26799116997795,98.20618101545254,98.19249448123622,"Zac Gallen",19291,668678
"Reid Detmers","LAA",3.57,0.17094017,0.10322581,0.29398907,6.535388469696045,,234,10,0,94.00529159738291,97.50492880613359,97.52376779846658,98.16692223439213,"Reid Detmers",27468,672282
"Emerson Hancock","SEA",5.91,0.08053691,0.09821429,0.25925926,-0.9304625391960144,,149,7,0,123.60748087032957,85.7454128440367,103.44388379204894,98.09051987767583,"Emerson Hancock",27470,676106
"Spencer Arrighetti","HOU",4.55,0.1299435,0.05309735,0.28254848,5.232463359832764,,177,8,0,102.77050701846866,77.94265175718851,97.97971246006391,98.08578274760382,"Spencer Arrighetti",29921,681293
"Mitchell Parker","WSN",3.68,0.15686275,0.07964602,0.25699301,6.675464630126953,,153,7,0,85.6760559961816,89.37744755244755,99.62325174825173,97.87342657342658,"Mitchell Parker",27636,680730
