"Name","Team","Barrel%","CSW%","Starting","Relieving","SO","TBF","GS","SV","xFIP-","K/BB+","HR/9+","WHIP+","BABIP+","playerid"
"Nick Lodolo","CIN","12.3%","30.7%","4.1","","40","120","5","0","74","163","135","75","86","26378"
"Sonny Gray","MIN","4.8%","30.4%","2.6","","16","61","3","0","70","193","111","90","105","12768"
"Ryan Yarbrough","TBR","3.4%","25.5%","","-2.2","6","38","0","0","121","108","279","98","80","16502"
"Garrett Whitlock","BOS","0.0%","25.0%","","-0.9","4","12","0","0","48","144","279","80","58","20191"
"Jordan Weems","WSN","7.9%","24.7%","","2.0","17","57","0","0","88","312","109","63","76","13190"
"Ron Marinaccio","NYY","0.0%","35.5%","","1.7","15","41","0","0","91","77","0","115","116","23488"
"Jesus Luzardo","MIA","7.5%","32.2%","6.1","","47","139","6","0","67","172","117","80","96","19959"
"Miles Mikolas","STL","11.1%","28.0%","2.3","0.3","26","106","4","0","91","119","126","93","96","9803"
"Michael Kopech","CHW","11.1%","26.6%","-0.1","","7","36","2","0","116","126","193","74","56","17282"
"Zac Gallen","ARI","6.8%","30.4%","6.9","","40","120","5","0","67","209","104","70","84","19291"
"Hunter Strickland","CIN","6.9%","31.9%","","1.8","15","46","0","0","55","275","72","83","110","7836"
"Brad Keller","KCR","9.1%","24.2%","","0.3","12","51","0","1","99","72","74","127","120","15734"
"Aroldis Chapman","NYY","0.0%","36.3%","","0.2","8","24","0","0","108","48","0","113","70","10233"
"Cole Waites","SFG","5.9%","22.1%","","-0.9","4","25","0","0","141","37","144","138","107","25665"
"Andrew Chafin","DET","13.5%","28.2%","","-3.5","12","58","0","2","129","48","148","162","120","12988"
"Trevor Stephan","CLE","0.0%","29.3%","","2.7","14","49","0","1","93","101","0","92","100","19932"
"Aaron Loup","LAA","5.4%","21.7%","","0.4","4","47","0","1","125","36","0","106","104","10343"
"Brayan Bello","BOS","4.9%","28.6%","5.7","","26","118","5","0","89","85","33","139","140","23920"
"Noah Syndergaard","PHI","9.2%","24.5%","0.9","0.7","10","78","3","0","113","122","125","87","88","11762"
"Devin Williams","MIL","0.0%","34.2%","","4.0","16","36","0","5","50","117","0","94","122","15816"
"Lou Trivino","NYY","9.1%","27.2%","","0.2","10","36","0","1","90","120","100","105","116","15043"
"Dean Kremer","BAL","6.0%","22.1%","-0.1","0.9","19","152","5","0","133","46","93","109","93","19350"
"Braxton Garrett","MIA","7.3%","29.2%","2.4","","19","83","4","0","96","100","84","109","116","21844"
"Martin Perez","TEX","5.3%","25.8%","5.0","","20","129","5","0","113","52","0","116","111","6902"
"Aaron Civale","CLE","1.7%","28.9%","3.2","","23","83","4","0","65","415","152","62","71","19479"
"Aaron Ashby","MIL","3.2%","23.0%","0.9","-0.4","10","47","2","0","90","92","74","107","114","23550"
"Shawn Armstrong","TBR","6.5%","30.3%","1.0","1.2","12","47","1","1","89","108","0","102","113","12857"
"Brad Boxberger","MIL","5.7%","33.0%","","3.2","15","53","0","0","83","275","60","69","91","10133"
"John King","TEX","4.1%","24.0%","","0.7","5","55","0","0","79","181","61","105","116","22051"
"Kyle Freeland","COL","7.4%","26.5%","7.9","","27","117","5","0","97","124","30","110","124","16256"
"Drew Rasmussen","TBR","7.7%","26.5%","5.4","","22","117","5","0","95","199","85","82","91","25385"
"Adbert Alzolay","CHC","10.0%","31.6%","","4.6","19","52","0","0","58","348","61","64","95","17859"
"Bailey Falter","PHI","6.0%","29.3%","5.7","","22","110","6","0","90","202","92","100","114","20070"
"Konnor Pilkington","CLE","19.2%","23.5%","0.0","","9","40","2","0","118","65","157","67","29","21453"
"Clarke Schmidt","NYY","17.9%","35.3%","","0.1","18","61","0","0","76","163","157","75","78","19899"
"Jason Adam","TBR","4.2%","34.5%","","-0.5","7","35","0","0","101","63","104","120","106","11861"
"Clay Holmes","NYY","0.0%","28.2%","","-0.6","8","43","0","1","101","72","78","90","84","13649"
"Caleb Smith","ARI","6.8%","23.8%","","-2.0","12","64","0","0","135","55","153","88","58","14875"
"Hoby Milner","MIL","3.2%","33.9%","","1.0","12","47","0","0","75","147","77","103","114","13346"
"Lucas Giolito","CHW","2.7%","30.7%","6.2","","30","118","5","0","89","99","29","89","96","15474"
"Yunior Marte","SFG","2.8%","24.8%","","0.3","13","57","0","0","111","60","63","108","88","14416"
"Andrew Heaney","LAD","8.2%","31.2%","2.3","2.4","32","88","3","0","69","196","118","87","104","15423"
"Mark Leiter Jr.","CHC","0.0%","33.8%","","3.5","13","43","0","2","87","119","0","83","100","15551"
